,,,
A change log showing journals withdrawn from DOAJ from 19th March 2014 to 31st January 2024,,,
,,,
A new change log is available. This spreadsheet is no longer updated.,,,
,,,
,,,
Journal Title,ISSN,Date Removed (dd/mm/yyyy),Reason
Deutsches Ärzteblatt,0012-1207,3-Apr-2017,Journal not adhering to Best practice
Perspektive Bibliothek,2194-8992,3-Apr-2017,Journal not adhering to Best practice
Südosteuropäische Hefte,2194-3710,3-Apr-2017,Inactive (has not published in the last calendar year)
E-Journal Philosophie der Psychologie,1813-7784,3-Apr-2017,Journal not adhering to Best practice
International Journal of Advanced Corporate Learning (iJAC),1867-5565,3-Apr-2017,requires user registration to access PDFs
Journal of Virtual Reality and Broadcasting,1860-2037,3-Apr-2017,Not enough articles published
IABLIS : Jahrbuch für Europäische Prozesse,1610-6261,3-Apr-2017,Journal not adhering to Best practice
Meta-Carto-Semiotics,1868-1387,3-Apr-2017,Journal not adhering to Best practice
International Journal of Internet Science,1662-5544,3-Apr-2017,Not enough articles published
Stuttgarter Beiträge zur Naturkunde A (Biologie),0341-0145,3-Apr-2017,No license
Psychological Test and Assessment Modeling,2190-0493,3-Apr-2017,No license
Journal für Generationengerechtigkeit,1617-1799,3-Apr-2017,Inactive (has not published in the last calendar year)
Austrian Studies in Social Anthropology,1815-3704,3-Apr-2017,Inactive (has not published in the last calendar year)
Theo-Web : Zeitschrift für Religionspädagogik,1863-0502,3-Apr-2017,No license
Empirische Sonderpädagogik,1869-4845,3-Apr-2017,Journal not adhering to Best practice
Social Transformations in Contemporary Society,2345-0126,2-Apr-2017,Journal not adhering to Best practice
Pedagogika,1392-0340,1-Apr-2017,Journal not adhering to Best practice
Cognitio Juris: Revista Jurídica,2236-3009,31-Mar-2017,Journal not adhering to Best practice
Perspectiva Educacional Formación de Profesores,0718-9729﻿,31-Mar-2017,Journal not adhering to Best practice
Revista de Finanças Aplicadas,2176-8854,31-Mar-2017,Journal not adhering to Best practice
InternexT: Revista Eletrônica de Negócios Internacionais da ESPM,1980-4865,31-Mar-2017,Journal not adhering to Best practice
Socìalʹno-ekonomìčnì Problemì ì Deržava,2223-3822,29-Mar-2017,Journal ceased
Terra,1012-7089,29-Mar-2017,Journal not adhering to Best practice
Journal Safety Promotion and Injury Prevention,2345-2455,29-Mar-2017,Website URL no longer works
Juridica International (Tartu),1406-1082,29-Mar-2017,Journal not adhering to Best practice
Contextus,1678-2089,28-Mar-2017,Journal not adhering to Best practice
Journal of Physics: Conference Series,1742-6596,28-Mar-2017,Journal not adhering to Best practice
IOP Conference Series: Materials Science and Engineering,1757-899X,28-Mar-2017,Journal not adhering to Best practice
IOP Conference Series : Earth and Environmental Science ,1755-1315,20-Feb-2017,Journal not adhering to Best practice
Balcanica,0350-7653,26-Mar-2017,Journal not adhering to Best practice
ANZIAM Journal : Electronic Supplement,1445-8810,25-Mar-2017,Journal not adhering to Best practice
Human IT: Tidskrift för Studier av IT ur ett Humanvetenskapligt Perspektiv,1402-1501,25-Mar-2017,Journal not adhering to Best practice
Business and Economics Research Journal ,1309-2448,25-Mar-2017,Journal not adhering to Best practice
Revista Brasileira de Farmacognosia,0102-695X,25-Mar-2017,Journal not adhering to Best practice
Psicologia Clínica,0103-5665,25-Mar-2017,Journal not adhering to Best practice
Brazilian Journal of Infectious Diseases,1413-8670,25-Mar-2017,Journal not adhering to Best practice
Revista Comunicação Midiática,2236-8000,25-Mar-2017,Journal not adhering to Best practice
Pensando : Revista de Filosofia,2178-843X,25-Mar-2017,Journal not adhering to Best practice
McNair Scholars Research Journal,2166-109X,25-Mar-2017,Journal not adhering to Best practice
Suicidologi,1501-6994,25-Mar-2017,Journal not adhering to Best practice
Galemys : Spanish Journal of Mammalogy,1137-8700,25-Mar-2017,Journal not adhering to Best practice
Iranian Journal of Neurology,2008-384X,25-Mar-2017,Journal not adhering to Best practice
Intelligent Systems in Electrical Engineering,2251-6530,25-Mar-2017,Journal not adhering to Best practice
Australasian Journal of Educational Technology,1449-5554,20-Mar-2017,Journal not adhering to Best practice
Clinical Medicine & Research,1539-4182,25-Mar-2017,Journal not adhering to Best practice
Journal of Inequalities and Special Functions,2217-4303,25-Mar-2017,Journal not adhering to Best practice
Journal of Asia Pacific Studies,1948-0091,25-Mar-2017,Journal not adhering to Best practice
The Journal of Nonlinear Sciences and its Applications,2008-1898,25-Mar-2017,Journal not adhering to Best practice
Asian Journal of Conservation Biology ,2278-7666,25-Mar-2017,Journal not adhering to Best practice
"Journal of Education Policy, Planning and Administration",2152-2804,25-Mar-2017,Journal not adhering to Best practice
Nordisk Miljörättslig Tidskrift,2000-4273,25-Mar-2017,Journal not adhering to Best practice
Philosophy for Business,2043-0736,25-Mar-2017,Journal not adhering to Best practice
"Kairos : Journal of Rhetoric, Technology, and Pedagogy",1521-2300,25-Mar-2017,Journal not adhering to Best practice
Arena : Journal of Physical Activities,2285-830X,25-Mar-2017,Journal not adhering to Best practice
Journal of Science and Technology of Greenhouse Culture,2008-9082,25-Mar-2017,Journal not adhering to Best practice
Archivos de Pediatría del Uruguay﻿,0004-0584,23-Mar-2017,Journal not adhering to Best practice
Eccos Revista Científica,1517-1949,23-Mar-2017,Journal not adhering to Best practice
Open Mechanical Engineering Journal,1874-155X,23-Mar-2017,Journal not adhering to Best practice
Open Sports Sciences Journal,1875-399X,23-Mar-2017,Journal not adhering to Best practice
Open Medical Imaging Journal,1874-3471,23-Mar-2017,Journal not adhering to Best practice
Open Plasma Physics Journal,1876-5343,23-Mar-2017,Journal not adhering to Best practice
Open Cardiovascular Medicine Journal,1874-1924,23-Mar-2017,Journal not adhering to Best practice
Open Forest Science Journal,1874-3986,23-Mar-2017,Journal not adhering to Best practice
Open Immunology Journal,1874-2262,23-Mar-2017,Journal not adhering to Best practice
Open Bioinformatics Journal,1875-0362,23-Mar-2017,Journal not adhering to Best practice
Open Ecology Journal,1874-2130,23-Mar-2017,Journal not adhering to Best practice
Open Otorhinolaryngology Journal,1874-4281,23-Mar-2017,Journal not adhering to Best practice
Open Microbiology Journal,1874-2858,23-Mar-2017,Journal not adhering to Best practice
Tesis Psicológica,1909-8391,23-Mar-2017,Journal not adhering to Best practice
Open Cybernetics and Systemics Journal,1874-110X,23-Mar-2017,Journal not adhering to Best practice
Open Orthopaedics Journal,1874-3250,23-Mar-2017,Journal not adhering to Best practice
Open Ornithology Journal,1874-4532,23-Mar-2017,Journal not adhering to Best practice
Open Dermatology Journal,1874-3722,23-Mar-2017,Journal not adhering to Best practice
Open Astronomy Journal,1874-3811,23-Mar-2017,Journal not adhering to Best practice
Open AIDS Journal,1874-6136,23-Mar-2017,Journal not adhering to Best practice
Open Catalysis Journal,1876-214X,23-Mar-2017,Journal not adhering to Best practice
Open Fuels and Energy Science Journal,1876-973X,23-Mar-2017,Journal not adhering to Best practice
Open Biomedical Engineering Journal,1874-1207,23-Mar-2017,Journal not adhering to Best practice
Open Medical Informatics Journal,1874-4311,23-Mar-2017,Journal not adhering to Best practice
Open Respiratory Medicine Journal,1874-3064,23-Mar-2017,Journal not adhering to Best practice
Open Dentistry Journal,1874-2106,23-Mar-2017,Journal not adhering to Best practice
Open Biochemistry Journal,1874-091X,23-Mar-2017,Journal not adhering to Best practice
Open Sleep Journal,1874-6209,23-Mar-2017,Journal not adhering to Best practice
Open Obesity Journal,1876-8237,23-Mar-2017,Journal not adhering to Best practice
Open Analytical Chemistry Journal,1874-0650,23-Mar-2017,Journal not adhering to Best practice
Open Neuroimaging Journal,1874-4400,23-Mar-2017,Journal not adhering to Best practice
Open Addiction Journal,1874-9410,23-Mar-2017,Journal not adhering to Best practice
Open Rheumatology Journal,1874-3129,23-Mar-2017,Journal not adhering to Best practice
Open Renewable Energy Journal,1876-3871,23-Mar-2017,Journal not adhering to Best practice
Open Psychology Journal,1874-3501,23-Mar-2017,Journal not adhering to Best practice
Open Sports Medicine Journal,1874-3870,23-Mar-2017,Journal not adhering to Best practice
Open Epidemiology Journal,1874-2971,23-Mar-2017,Journal not adhering to Best practice
Open Behavioral Science Journal,1874-2300,23-Mar-2017,Journal not adhering to Best practice
Open Atmospheric Science Journal,1874-2823,23-Mar-2017,Journal not adhering to Best practice
Open Pediatric Medicine Journal,1874-3099,23-Mar-2017,Journal not adhering to Best practice
Open Neurology Journal,1874-205X,23-Mar-2017,Journal not adhering to Best practice
Open Electrical & Electronic Engineering Journal,1874-1290,23-Mar-2017,Journal not adhering to Best practice
Open Cardiovascular and Thoracic Surgery Journal,1876-5335,23-Mar-2017,Journal not adhering to Best practice
Open Electrochemistry Journal ,1876-505X,23-Mar-2017,Journal not adhering to Best practice
Open Construction & Building Technology Journal,1874-8368,23-Mar-2017,Journal not adhering to Best practice
Open Civil Engineering Journal,1874-1495,23-Mar-2017,Journal not adhering to Best practice
Open Ophthalmology Journal,1874-3641,23-Mar-2017,Journal not adhering to Best practice
Open Fish Science Journal,1874-401X,23-Mar-2017,Journal not adhering to Best practice
Open Conference Proceedings Journal ,2210-2892,23-Mar-2017,Journal not adhering to Best practice
Ergonomics Open Journal,1875-9343,23-Mar-2017,Journal not adhering to Best practice
Open Nutrition Journal,1874-2882,23-Mar-2017,Journal not adhering to Best practice
Open Petroleum Engineering Journal,1874-8341,23-Mar-2017,Journal not adhering to Best practice
Open Environmental Engineering Journal,1874-8295,23-Mar-2017,Journal not adhering to Best practice
Open Pain Journal,1876-3863,23-Mar-2017,Journal not adhering to Best practice
Open Infectious Diseases Journal,1874-2793,23-Mar-2017,Journal not adhering to Best practice
Open Forensic Science Journal,1874-4028,23-Mar-2017,Journal not adhering to Best practice
Open Hydrology Journal,1874-3781,23-Mar-2017,Journal not adhering to Best practice
Open Materials Science Journal,1874-088X,23-Mar-2017,Journal not adhering to Best practice
Open Geography Journal ,1874-9232,23-Mar-2017,Journal not adhering to Best practice
Open Acoustics Journal,1874-8376,23-Mar-2017,Journal not adhering to Best practice
Open Energy and Fuels Journal,1874-2483,23-Mar-2017,Journal not adhering to Best practice
Open Colorectal Cancer Journal,1876-8202,23-Mar-2017,Journal not adhering to Best practice
Open Waste Management Journal,1876-4002,23-Mar-2017,Journal not adhering to Best practice
Clinical Practice and Epidemiology in Mental Health,1745-0179,23-Mar-2017,Journal not adhering to Best practice
Open Nutraceuticals Journal,1876-3960,23-Mar-2017,Journal not adhering to Best practice
Open Food Science Journal,1874-2564,23-Mar-2017,Journal not adhering to Best practice
Open Veterinary Science Journal,1874-3188,23-Mar-2017,Journal not adhering to Best practice
Open Urology & Nephrology Journal,1874-303X,23-Mar-2017,Journal not adhering to Best practice
Open Agriculture Journal,1874-3315,23-Mar-2017,Journal not adhering to Best practice
Open Breast Cancer Journal ,1876-8172,23-Mar-2017,Journal not adhering to Best practice
Open Rehabilitation Journal,1874-9437,23-Mar-2017,Journal not adhering to Best practice
Open Anesthesiology Journal,1874-3218,23-Mar-2017,Journal not adhering to Best practice
Open Public Health Journal,1874-9445,23-Mar-2017,Journal not adhering to Best practice
Open Virology Journal,1874-3579,23-Mar-2017,Journal not adhering to Best practice
OnLine Journal of Biological Sciences,1608-4217,22-Mar-2017,Journal not adhering to Best practice
American Journal of Agricultural and Biological Science,1557-4989,22-Mar-2017,Journal not adhering to Best practice
American Journal of Animal and Veterinary Sciences,1557-4555,22-Mar-2017,Journal not adhering to Best practice
American Journal of Applied Sciences,1546-9239,22-Mar-2017,Journal not adhering to Best practice
American Journal of Economics and Business Administration,1945-5488,22-Mar-2017,Journal not adhering to Best practice
Journal of Computer Science,1549-3636,22-Mar-2017,Journal not adhering to Best practice
Journal of Mathematics and Statistics,1549-3644,22-Mar-2017,Journal not adhering to Best practice
American Journal of Infectious Diseases,1553-6203,22-Mar-2017,Journal not adhering to Best practice
American Journal of Biochemistry and Biotechnology,1553-3468,22-Mar-2017,Journal not adhering to Best practice
American Journal of Engineering and Applied Sciences,1941-7020,22-Mar-2017,Journal not adhering to Best practice
Journal of Social Sciences,1549-3652,22-Mar-2017,Journal not adhering to Best practice
American Journal of Immunology,1553-619X,22-Mar-2017,Journal not adhering to Best practice
American Journal of Environmental Sciences,1553-345X,22-Mar-2017,Journal not adhering to Best practice
Universidad y Sociedad,2218-3620,21-Mar-2017,Journal not adhering to Best practice
International Scientific Journal of Management Information Systems,1452-774X,20-Mar-2017,Has not published enough articles this calendar year
Philology,1687-4242,14-Mar-2017,Journal not adhering to Best practice
Acta Obstetrica e Ginecologia Portuguesa,1646-5830,14-Mar-2017,Journal not adhering to Best practice
Prisma.com,1646-3153,14-Mar-2017,Journal not adhering to Best practice
Ingenierías,1405-0676,14-Mar-2017,Journal not adhering to Best practice
Revista de Ciencia Política,0716-1417,14-Mar-2017,Journal not adhering to Best practice
Al Ameen Journal of Medical Sciences,0974-1143,13-Mar-2017,Journal not adhering to Best practice
New Marketing Research Journal,2228-7744,13-Mar-2017,Journal not adhering to Best practice
Revista Contemporânea,1806-0498,13-Mar-2017,Journal not adhering to Best practice
Ruthenica,0136-0027,12-Mar-2017,Journal not adhering to Best practice
"Vestnik Nacionalʹnogo Tehničeskogo Universiteta ""HPI"":  Informatika i Modelirovanie ",2079-0031,12-Mar-2017,Journal not adhering to Best practice
Revista Educ@rnos,2007-1930,11-Mar-2017,Journal not adhering to Best practice
VITAE: Academia Biomédica Digital,1317-987X,11-Mar-2017,Journal not adhering to Best practice
IUCN Otter Specialist Group Bulletin,1023-9030,10-Mar-2017,Journal not adhering to Best practice
Bibliosfera,1311-8803,10-Mar-2017,Has not published enough articles this calendar year
Matematičnì Studìï,1027-4634,10-Mar-2017,Journal not adhering to Best practice
Stomatos,1519-4442,8-Mar-2017,Journal not adhering to Best practice
"Boletim Petróleo, Royalties e Região",1980-6310,8-Mar-2017,Journal not adhering to Best practice
International Journal of Information Technology and Electrical Engineering,2306-708X,8-Mar-2017,Journal not adhering to Best practice
Pharmacognosy Reviews,0976-2787,8-Mar-2017,Journal not adhering to Best practice
Pharmacognosy Magazine,0976-4062,8-Mar-2017,Journal not adhering to Best practice
Organic and Medicinal Chemistry Letters,2191-2858,8-Mar-2017,Ceased publishing
Strategìâ Rozvitku Ukraïni,1729-7036,6-Mar-2017,Has not published enough articles this calendar year
Revista Mexicana de Análisis Político y Administración Pública,2007-4425,6-Mar-2017,Journal not adhering to Best practice
Condensed Matter Physics,1607-324X,6-Mar-2017,no licence no OA statement
Studies of Changing Societies,2225-2215,4-Mar-2017,Has not published enough articles this calendar year
Zbornik Radova Vizantološkog Instituta,0584-9888,4-Mar-2017,Has not published enough articles this calendar year
Deutsches Ärzteblatt,0012-1207,4-Mar-2017,Journal not adhering to Best practice
CONHISREMI,1690-7760,3-Mar-2017,Journal not adhering to Best practice
Sistemas & Gestão,1980-5160,2-Mar-2017,Journal not adhering to Best practice
Revista Chilena de Derecho y Ciencia Politica,0719-2150,1-Mar-2017,Journal not adhering to Best practice
Iranian Journal of Radiology,2008-2711,1-Mar-2017,Journal not adhering to Best practice
Trauma Monthly,2251-7472,1-Mar-2017,Journal not adhering to Best practice
Thrita,2352-0620,1-Mar-2017,Journal not adhering to Best practice
Scimetr,2351-9681,1-Mar-2017,Journal not adhering to Best practice
Research in Cardiovascular Medicine,2251-9580,1-Mar-2017,Journal not adhering to Best practice
Quran and Medicine,2251-6166,1-Mar-2017,Journal not adhering to Best practice
Nursing and Midwifery Studies,2322-1674,1-Mar-2017,Journal not adhering to Best practice
Nephro-Urology Monthly,2251-7014,1-Mar-2017,Journal not adhering to Best practice
Journal of Archives in Military Medicine,2345-5063,1-Mar-2017,Journal not adhering to Best practice
Islamic Lifestyle Centered on Health,2322-2174,1-Mar-2017,Journal not adhering to Best practice
Iranian Journal of Pediatrics,2008-2150,1-Mar-2017,Journal not adhering to Best practice
International Journal of Infection,2383-1421,1-Mar-2017,Journal not adhering to Best practice
International Journal of High Risk Behaviors and Addiction,2251-872X,1-Mar-2017,Journal not adhering to Best practice
International Journal of Endocrinology and Metabolism,1726-9148,1-Mar-2017,Journal not adhering to Best practice
Hepatitis Monthly,1735-3408,1-Mar-2017,Journal not adhering to Best practice
Gene Cell Tissue,2345-6841,1-Mar-2017,Journal not adhering to Best practice
Asian journal of Sports Medicine,2008-7209,1-Mar-2017,Journal not adhering to Best practice
Archives of Pediatric Infectious Diseases,2322-1836,1-Mar-2017,Journal not adhering to Best practice
Archives of Cardiovascular Imaging,2322-5319,1-Mar-2017,Journal not adhering to Best practice
Archives of Trauma Research,2251-9599,1-Mar-2017,Journal not adhering to Best practice
Journal on Ethnopolitics and Minority Issues in Europe,1617-5247,1-Mar-2017,Journal not adhering to Best practice
Journal of Universal College of Medical Sciences,2091-2846,28-Feb-2017,Journal not adhering to Best practice
International Journal of Engineering Sciences and Management,2231-3273,28-Feb-2017,Journal not adhering to Best practice
Acta Médica Costarricense,0001-6012,27-Feb-2017,Journal not adhering to Best practice
Review of International Geographical Education Online,2146-0353,27-Feb-2017,Journal not adhering to Best practice
Indian Journal of Medical Sciences,1998-3654,27-Feb-2017,No longer scholarly journal
Game Theory,2314-6559,27-Feb-2017,Ceased publishing
International Journal of Engineering and Applied Sciences,1309-0267,24-Feb-2017,Journal not adhering to Best practice
 RIC : Revista de Informação Contábil,1982-3967,24-Feb-2017,Inactive (has not published in the last calendar year)
Griot : Revista de Filosofia,2178-1036,24-Feb-2017,Journal not adhering to Best practice
Revista Inspirar : Movimento e Saúde,2175-537X,24-Feb-2017,Journal not adhering to Best practice
Journal of FisheriesSciences.com,1307-234X,24-Feb-2017,Journal not adhering to Best practice
Innovare Journal of Life Science,2321-550X,24-Feb-2017,Journal not adhering to Best practice
Asian Journal of Pharmaceutical and Clinical Research,0974-2441,24-Feb-2017,Journal not adhering to Best practice
International Journal of Pharmacy and Pharmaceutical Sciences,0975-1491,24-Feb-2017,Journal not adhering to Best practice
International Journal of Basics and Applied Science,2301-4458,24-Feb-2017,Journal not adhering to Best practice
American Journal of Engineering Research,2320-0936,24-Feb-2017,Journal not adhering to Best practice
Meta Gene,2214-5400,24-Feb-2017,Journal is no longer Open Access
Revista Iberoamericana de las Ciencias Biológicas y Agropecuarias,2007-9990,24-Feb-2017,Journal not adhering to Best practice
Revista Iberoamericana para la Investigación y el Desarrollo Educativo,2007-7467,24-Feb-2017,Journal not adhering to Best practice
Oral & Maxillofacial Pathology Journal ,2322-0384,24-Feb-2017,Journal not adhering to Best practice
Revista Virtual de Estudos da Linguagem,1678-8931,23-Feb-2017,Journal not adhering to Best practice
Indian Journal of Pharmaceutical Sciences,1998-3743,23-Feb-2017,Journal not adhering to Best practice
Global Journal of Advance Research on Classical and Modern Geometries,2284-5569,7-Feb-2017,Journal not adhering to Best practice
International Journal of Advanced Computer Research,2249-7277,23-Feb-2017,Journal not adhering to Best practice
International Education and Leadership,2161-7252,23-Feb-2017,Journal not adhering to Best practice
International Journal of Engineering Research,2319-6890,23-Feb-2017,Journal not adhering to Best practice
Journal of Pharmaceutical and Scientific Innovation,2277-4572,23-Feb-2017,Journal not adhering to Best practice
International Research Journal of Pharmacy,2230-8407,23-Feb-2017,Journal not adhering to Best practice
International Journal of Research in Ayurveda and Pharmacy,2229-3566,23-Feb-2017,Journal not adhering to Best practice
Asian Journal of Current Engineering & Maths,2277-4920,23-Feb-2017,Journal not adhering to Best practice
Innovative Journal of Medical and Health Sciences,2277-4939,23-Feb-2017,Journal not adhering to Best practice
Innovative Journal of Business and Management,2277-4947,23-Feb-2017,Journal not adhering to Best practice
International Journal For Pharmaceutical Research Scholars,2277-7873,23-Feb-2017,Journal not adhering to Best practice
"International Journal of Advanced Ayurveda, Yoga, Unani, Siddha and Homeopathy",2320-0251,23-Feb-2017,Journal not adhering to Best practice
International Journal of English and Education,2278-4012,23-Feb-2017,Journal not adhering to Best practice
The IIOAB Journal,0976-3104,23-Feb-2017,Journal not adhering to Best practice
International Journal of Electronics and Computer Science Engineering,2277-1956,23-Feb-2017,Journal not adhering to Best practice
Indian Journal of Pharmaceutical and Biological Research,2320-9267,23-Feb-2017,Journal not adhering to Best practice
International Journal of Research in Medical Sciences,2320-6071,23-Feb-2017,Journal not adhering to Best practice
"International Journal of Reproduction, Contraception, Obstetrics and Gynecology",2320-1770,23-Feb-2017,Journal not adhering to Best practice
International Journal of Basic & Clinical Pharmacology,2319-2003,23-Feb-2017,Journal not adhering to Best practice
International Bulletin of Drug Research ,2250-3692,23-Feb-2017,Journal not adhering to Best practice
International Journal of Electronics Communication and Computer Engineering,2249-071X,23-Feb-2017,Journal not adhering to Best practice
International Journal of Engineering Innovations and Research,2277-5668,23-Feb-2017,Journal not adhering to Best practice
International Journal of Agriculture Innovations and Research,2319-1473,23-Feb-2017,Journal not adhering to Best practice
SKASE Journal of Theoretical Linguistics,1336-782X,23-Feb-2017,Journal not adhering to Best practice
Acta Mathematica Universitatis Comenianae,0862-9544,22-Feb-2017,Journal not adhering to Best practice
Dejiny,1337-0707,22-Feb-2017,Journal not adhering to Best practice
Estudios Constitucionales,0718-0195,22-Feb-2017,Journal not adhering to Best practice
Revista Latinoamericana de Filosofía,0325-0725,22-Feb-2017,Journal not adhering to Best practice
Tópicos del Seminario: Revista de Semiótica,1665-1200,22-Feb-2017,Journal not adhering to Best practice
Defence Science Journal ,0976-464X,22-Feb-2017,Web site URL no longer works
Recent Research in Science and Technology,2076-5061,22-Feb-2017,Publisher failed to respond to requests for information
Journal of Phytology,2075-6240,22-Feb-2017,Publisher failed to respond to requests for information
Current Botany,2220-4822,22-Feb-2017,Publisher failed to respond to requests for information
Socialiniai Tyrimai,1392-3110,22-Feb-2017,no licence
Badiou Studies,2049-9027,22-Feb-2017,Web site URL no longer works
Journal of Dental Sciences and Research,0976-2841,22-Feb-2017,Inactive (has not published in the last calendar year)
Lapis Lazuli : an International Literary Journal,2249-4529,22-Feb-2017,Journal not adhering to Best practice
Acta Geologica Slovaca,1338-0044,21-Feb-2017,no OA and licence
La Mirada de Telemo,2073-0837,21-Feb-2017,Journal not adhering to Best practice
ConTexto (Porto Alegre),1676-6016,21-Feb-2017,Journal not adhering to Best practice
Kalbų Studijos,1648-2824,21-Feb-2017,no licence
Ukrainica Bioorganica Acta,1814-9758,20-Feb-2017,no OA and licence
Theory and Applications of Mathematics & Computer Science,2247-6202,20-Feb-2017,Journal not adhering to Best practice
Western Journal of Legal Studies,1927-9132,20-Feb-2017,Journal not adhering to Best practice
Canadian Political Science Review,1911-4125,20-Feb-2017,Journal not adhering to Best practice
Journal of the Canadian Academy of Child and Adolescent Psychiatry,1719-8429,20-Feb-2017,Journal not adhering to Best practice
Journal of Applied Economics and Business Research,1927-033X,20-Feb-2017,Journal not adhering to Best practice
"Decolonization : Indigeneity, Education & Society",1929-8692,20-Feb-2017,Journal not adhering to Best practice
Mevlana International Journal of Education,2146-7951,20-Feb-2017,Journal not adhering to Best practice
The Online Journal of New Horizons in Education,2146-7374,20-Feb-2017,Journal not adhering to Best practice
Alternatives : Turkish Journal of International Relations,2146-0809,20-Feb-2017,Journal not adhering to Best practice
Critical Education,1920-4175,20-Feb-2017,Journal not adhering to Best practice
TOJSAT,2146-7390,20-Feb-2017,Journal not adhering to Best practice
Stellenbosch Theological Journal,2413-9467,20-Feb-2017,Journal not adhering to Best practice
International Journal of Latest Trends in Engineering and Technology,2319-3778,20-Feb-2017,Journal not adhering to Best practice
International Journal of Innovations in Engineering and Technology,2319-1058,20-Feb-2017,Journal not adhering to Best practice
Rasayan Journal of Chemistry,0974-1496,20-Feb-2017,Journal not adhering to Best practice
Middle East Journal of Digestive Diseases,2008-5230,20-Feb-2017,Journal not adhering to Best practice
Journal of Rafsanjan University of Medical Sciences,1735-3165,20-Feb-2017,Journal not adhering to Best practice
Erhvervshistorisk Årbog,0071-1152,20-Feb-2017,Journal not adhering to Best practice
"Revista de la Sociedad Otorrinolaringológica de Castilla y León, Cantabria y La Rioja",2171-9381,20-Feb-2017,Journal not adhering to Best practice
Economia Aplicada,1413-8050,20-Feb-2017,Journal not adhering to Best practice
Revista Eletrônica de Sistemas de Informação,1677-3071,20-Feb-2017,Journal not adhering to Best practice
International Cardiovascular Research Journal,2251-9130,20-Feb-2017,Journal not adhering to Best practice
Studies In African Linguistics,0039-3533,20-Feb-2017,Journal not adhering to Best practice
Jurnal Akuntansi dan Keuangan,1411-0288,20-Feb-2017,Journal not adhering to Best practice
Jurnal Teknik Mesin,1410-9867,20-Feb-2017,Journal not adhering to Best practice
European Psychomotricity Journal,1791-3837,20-Feb-2017,Journal not adhering to Best practice
Review of Economic and Business Studies (REBS),1843-763X,20-Feb-2017,Journal not adhering to Best practice
Early Modern Literary Studies,1201-2459,20-Feb-2017,Journal not adhering to Best practice
Iranian Journal of Microbiology,2008-3289,20-Feb-2017,Journal not adhering to Best practice
Iranian Journal of Public Health,2251-6085,20-Feb-2017,Journal not adhering to Best practice
Iranian Journal of Health and Environment,2008-2029,20-Feb-2017,Journal not adhering to Best practice
"Iranian Journal Of Allergy, Asthma and Immunology",1735-1502,20-Feb-2017,Journal not adhering to Best practice
Pakistan Journal of Chemistry,2220-2625,20-Feb-2017,Journal not adhering to Best practice
Research and Science Today,2247-4455,20-Feb-2017,Journal not adhering to Best practice
Lambda Nordica,1100-2573,20-Feb-2017,Journal not adhering to Best practice
IOP Conference Series : Earth and Environmental Science ,1755-1307,20-Feb-2017,Journal not adhering to Best practice
Conservation Evidence,1758-2067,20-Feb-2017,Journal not adhering to Best practice
International Journal of Basic Medical Sciences and Pharmacy ,2049-4963,20-Feb-2017,Journal not adhering to Best practice
Journal of Regional & Socio-Economic Issues,2049-1395,20-Feb-2017,Journal not adhering to Best practice
Mathematical and Computational Forestry & Natural-Resource Sciences ,1946-7664,20-Feb-2017,Journal not adhering to Best practice
International Journal of Cloud Computing and Services Science (IJ-CLOSER),2089-3337,20-Feb-2017,Journal not adhering to Best practice
İnsan & Toplum Dergisi,2146-7099,20-Feb-2017,Journal not adhering to Best practice
Türk Nöroloji Dergisi,1301-062X,20-Feb-2017,Journal not adhering to Best practice
"Sport si Societate : Revista de Educatie Fizica, Sport si Stiinte Conexe",1582-2168,20-Feb-2017,Journal not adhering to Best practice
Cambodian Journal of Natural History,2226-969X,20-Feb-2017,Journal not adhering to Best practice
Journal of Networks,1796-2056,20-Feb-2017,Journal not adhering to Best practice
Journal of Multimedia,1796-2048,20-Feb-2017,Journal not adhering to Best practice
Tamkang Journal of Mathematics,0049-2930,20-Feb-2017,Journal not adhering to Best practice
Journal of Veterinary Science,1229-845X,20-Feb-2017,Journal not adhering to Best practice
International Journal of Automation and Smart Technology,2223-9766,20-Feb-2017,Journal not adhering to Best practice
International Journal of Wireless and Microwave Technologies,2076-1449,20-Feb-2017,Journal not adhering to Best practice
Taiwan Journal of Linguistics,1729-4649,20-Feb-2017,Journal not adhering to Best practice
Work Based Learning e-Journal,2044-7868,20-Feb-2017,Journal not adhering to Best practice
Agricultural Engineering International : The CIGR e-journal,1682-1130,20-Feb-2017,Journal not adhering to Best practice
BioResources,1930-2126,20-Feb-2017,Journal not adhering to Best practice
Molecular Therapy - Oncolytics,2372-7705,20-Feb-2017,Journal is no longer Open Access
Nucleus,1678-6602,19-Feb-2017,Journal not adhering to Best practice
Acta Iguazu,2316-4093,19-Feb-2017,Journal not adhering to Best practice
International Journal of Computer Applications and Information Technology,2278-7720,19-Feb-2017,Journal not adhering to Best practice
Tusculum: Časopis za Solinske Teme,1846-9469,19-Feb-2017,Journal not adhering to Best practice
Global Media Journal : Mediterranean Edition,1450-4154,19-Feb-2017,Journal not adhering to Best practice
International Journal of Thermodynamics,1301-9724,19-Feb-2017,Journal not adhering to Best practice
Romanticism and Victorianism on the Net,1916-1441,18-Feb-2017,Journal not adhering to Best practice
Bulgarian e-Journal of Archaeology,1314-5088,18-Feb-2017,Journal not adhering to Best practice
