JournalID,JournalTitle,Publisher,eissn,pissn,additionalIssns
300328,Revista Argentina de Endocrinología y Metabolismo,Elsevier,,0326-4610,
300333,Cendekia Jurnal Kependidikan dan Kemasyarakatan,STAIN Ponorogo,2477-796X,1693-1505,
300341,Gynecology Obstetrics and Reproductive Medicine,Mebas Medikal Basin Yayin,2602-4918,1300-4751,
300365,Jurisdictie Jurnal Hukum dan Syariah,Maulana Malik Ibrahim State Islamic University,2528-3383,2086-7549,
300388,ГОДИШЊАК ФИЛОЗОФСКОГ ФАКУЛТЕТА У НОВОМ САДУ,"Faculty of Philosophy, University of Novi Sad",2334-7236,0374-0730,
300415,Journal of Surgical Dermatology,PiscoMed Publishing Pte. Ltd.,2424-9165,2424-9084,
300422,Interactive science,"TSNS Interaktiv Plus, LLC",2500-2686,2414-9411,
300427,Sophia,Universidad La Gran Colombia,2346-0806,1794-8932,
300431,JAS (Journal of ASEAN Studies),Universitas Bina Nusantara,2338-1353,2338-1361,
300484,Smart Science,Informa UK (Taylor & Francis),2308-0477,,
300523,Physics in Medicine,Elsevier,,2352-4510,
300537,Indian Journal of Drugs in Dermatology,Ovid Technologies (Wolters Kluwer) - Medknow Publications,2455-3972,2455-3972,
300568,CIAN-Revista de Historia de las Universidades,Universidad Carlos III de Madrid,1988-8503,1139-6628,
300570,Revista Psicologia e Saúde,Universidade Catolica Dom Bosco,2177-093X,,
300612,Revista da Faculdade de Ciências Médicas de Sorocaba,Pontifical Catholic University of Sao Paulo (PUC-SP),1984-4840,1517-8242,
300627,Smart Water,Springer (Biomed Central Ltd.),2198-2619,,
300630,AMBIENT SCIENCE,Marwah Infotech,2348-8980,2348-5191,
300652,Cuadernos Electrónicos de Filosofía del Derecho,Universitat de Valencia,1138-9877,,
300654,APSP Journal of Case Reports,El-Med-Pub Publisher,2218-8185,,
300678,Academia Anatomica International,Society for Healthcare & Research Development,2455-5274,2617-5207,
300695,International Journal of Bioassays,Adhya Biosciences Pvt. Ltd.,2278-778X,,
300705,International Journal of Cognitive Research in Science Engineering and Education,FSFEI HE Don State Technical University,2334-8496,2334-847X,
300717,The International Journal for Talent Development,"University of Science and Technology, Yemen",2415-4563,2415-4563,2522-3836
300748,Research Journal of Information Technology,Maxwell Scientific Publication Corp.,2041-3114,2041-3106,
300763,VESTNIK INSTITUTA SOTZIOLOGII,Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences (FCTAS RAS),2221-1616,,
300766,Bulletin of the Moscow State Regional University (Russian philology),Federal State University of Education,,2310-7278,
300767,Bulletin of the Moscow State Regional University (Philosophy),Federal State University of Education,,2310-7227,
300769,Bulletin of the Moscow State Regional University (Psychology),Federal State University of Education,,2310-7235,
300785,Revista Educação em Questão,Universidade Federal do Rio Grande do Norte - UFRN,1981-1802,1981-1802,0102-7735
300787,Anadolu Kliniği Tıp Bilimleri Dergisi,Anadolu Klinigi Tip Bilimleri Dergisi,2458-8849,2149-5254,
300797,Polish Journal of Management Studies,Czestochowa University of Technology,2081-7452,2081-7452,
300849,Journal of Neonatal Surgery,Journal of Neonatal Surgery,2226-0439,,
300875,Current Issues in Molecular Biology,MDPI AG,,1467-3037,
300903,Language at Work - Bridging Theory and Practice,Det Kgl. Bibliotek/Royal Danish Library,1904-030X,1902-0465,
300904,Communication & Language at Work,Det Kgl. Bibliotek/Royal Danish Library,2245-5744,,
300914,Poiésis,Universidad Catolica Luis Amigo,1692-0945,,
300936,American Review of Politics,University of Oklahoma Libraries,2374-779X,2374-7781,
300973,Gazi Muhendislik Bilimleri Dergisi,Eurasian Society of Educational Research,,2149-4916,
300988,CES Medicina,Universidad CES,2215-9177,0120-8705,
300995,Socio-Economic Problems and the State,Ternopil Ivan Puluj National Technical University,2223-3822,2223-3822,
301027,CODEE Journal,Claremont Colleges Library,2160-5211,,
301030,GeoTextos,Universidade Federal da Bahia,1984-5537,1984-5537,1809-189X
301107,Jurnal Bina Praja,"Research and Development Agency, Ministry of Home Affairs",2503-3360,2085-4323,
301114,Dental Forum,Poznan University of Medical Sciences,2300-6099,1732-0801,
301115,Journal of Health Specialties,Ovid Technologies (Wolters Kluwer) - Medknow Publications,,2468-6360,
301121,Revista Guillermo de Ockham,Universidad de San Buenaventura,2256-3202,1794-192X,
301131,International Journal of Assessment Tools in Education,International Journal of Assessment Tools in Education,2148-7456,,
301139,TAC - Tecnologias de Administração e Contabilidade,ANPAD,2236-0263,,
301147,Jurnal Prima Edukasia,Universitas Negeri Yogyakarta,2460-9927,2338-4743,
301161,Human Microbiome Journal,Elsevier,,2452-2317,
301173,International Journal of Multicultural and Multireligious Understanding,International Journal of Multicultural and Multireligious Understanding (IJMMU),2364-5369,2364-5369,
301182,Skhid,Borys Grinchenko Kyiv Metropolitan University,2411-3093,1728-9343,
301188,Economía,Sistema de Bibliotecas PUCP,2304-4306,0254-4415,
301194,International Journal of ADVANCED AND APPLIED SCIENCES,International Journal of Advanced and Applied Sciences,2313-3724,2313-626X,
301230,Chroniques yéménites,OpenEdition,1996-4978,1248-0568,
301236,ÜNİVERSİTEPARK Bülten,Universitepark,2564-8039,2147-351X,
301243,Indonesian Journal of Science and Technology,Universitas Pendidikan Indonesia,2527-8045,2528-1410,
301270,ILIRIA International Review,ILIRIA International Review (IIR),2365-8592,2192-7081,
301277,European Journal of Sociology and Anthropology,Lectito Publications,2468-4910,2468-2837,
301279,Pedagogical Research,Modestum Ltd,2468-4929,2468-1989,
301307,"""Bulletin of the National Technical University """"KhPI"""" A series of """"Information and Modeling""""""",National Technical University Kharkiv Polytechnic Institute,2411-0558,2079-0031,
301340,Bulletin of Kemerovo State University,Kemerovo State University,2078-8983,2078-8975,
301368,Jurnal Keolahragaan,Universitas Negeri Yogyakarta,2461-0259,2339-0662,
301387,Yuridika,Universitas Airlangga,2528-3103,0215-840X,
301399,Acta Veterinaria Brasilica,Editora da Universidade Federal Rural do Semi-Arido - EdUFERSA,1981-5484,,
301410,Arena Hukum,Brawijaya University,2527-4406,0126-0235,
301419,Environment-Behaviour Proceedings Journal,e-IPH Ltd.,2398-4287,2398-4287,
301427,EduHumaniora | Jurnal Pendidikan Dasar Kampus Cibiru,Universitas Pendidikan Indonesia,2579-5457,2085-1243,
301428,Mimbar Sekolah Dasar,Universitas Pendidikan Indonesia Kampus Sumedang,2502-4795,2355-5343,
301430,Bulletin of Taras Shevchenko National University of Kyiv Series Biology,Taras Shevchenko National University of Kyiv,2308-8036,1728-2748,
301447,ANZIAM Journal,"Australian Mathematical Publishing Association, Inc.",1445-8810,,
301452,Chitrolekha International Magazine on Art and Design,Aesthetics Media Services,2231-4822,,
301469,Revista Científica Hermes - FIPEN,Revista Cientifica Hermes,2175-0556,,
301546,World Applied Programming,TI Journals,2222-2510,,
301576,Contabilidade Gestão e Governança,Revista Contabilidade Gestao e Governanca,1984-3925,1984-3925,
301577,Ciencia y Tecnología Agropecuaria,Corporacion Colombiana de Investigacion Agropecuaria (Corpoica),2500-5308,0122-8706,0120-8322
301603,Fish Scientiae,"Center for Journal Management and Publication, Lambung Mangkurat University",2541-1187,1693-3710,
301606,The South East Asian Journal of Management,Fakultas Ekonomi dan Bisnis Universitas Indonesia,2355-6641,1978-1989,
301633,Muslim Heritage,STAIN Ponorogo,2502-5341,2502-535X,
301635,Pustakaloka,STAIN Ponorogo,2502-4108,2085-2118,
301648,Probability Uncertainty and Quantitative Risk,American Institute of Mathematical Sciences,2367-0126,2367-0126,2095-9672
301672,Banks and Bank Systems,LLC CPC Business Perspectives,1991-7074,1816-7403,
301680,Journal of Business,Universidad del Pacifico,2078-9424,,
301687,OBM Integrative and Complementary Medicine,LIDSEN Publishing Inc,2573-4393,2573-4393,
301692,Translational Research in Oral Oncology,SAGE Publications,2057-178X,2057-178X,
301749,Journal of Physical Science,Penerbit Universiti Sains Malaysia,2180-4230,1675-3402,
301752,Rupkatha Journal on Interdisciplinary Studies in Humanities,Aesthetics Media Services,0975-2935,,
301766,Path of Science,Publishing Center Dialog,2413-9009,2413-9009,
301767,Irish Journal of Agricultural and Food Research,"Compuscript, Ltd.",2009-9029,0791-6833,
301789,ICTACT Journal on Microelectronics,ICT Academy,2395-1680,2395-1672,
301797,Population Horizons,Walter de Gruyter GmbH,2451-3121,1746-1081,
301808,Millah Journal of Religious Studies,Universitas Islam Indonesia (Islamic University of Indonesia),2527-922X,1412-0992,
301860,Bionatura,Centro Ecuatoriano de Biotecnología del Ambiente,1390-9355,1390-9347,
301864,Indonesian Journal of Agricultural Science,Indonesian Agency for Agricultural Instrument Standardization (IAAIS),2354-8509,1411-982X,
301869,Gestão org,Universidade Federal de Pernambuco,1679-1827,,
301882,Revista Territórios e Fronteiras,Revista Territorios e Fronteiras,1984-9036,,
301904,Revista Brasileira de Direito Processual Penal,Instituto Brasileiro de Direito Processual Penal,2525-510X,,
301914,Industrial Data,"Universidad Nacional Mayor de San Marcos, Vicerectorado de Investigacion",1810-9993,1560-9146,
301915,Research in Pharmaceutical Sciences,Ovid Technologies (Wolters Kluwer) - Medknow Publications,1735-9414,1735-5362,
301924,Asian Journal of Behavioural Studies,e-IPH Ltd.,2398-4295,2398-4295,
301935,Jurnal Gizi dan Dietetik Indonesia (Indonesian Journal of Nutrition and Dietetics),Alma Ata University Press,2503-183X,2303-3045,
301951,FENOMENA,UINSI Samarinda,2460-3902,2086-3632,2615-4900
301989,Pakistan Journal of Pharmaceutical Research,Pakistan Journal of Pharmaceutical Research,2410-6275,,
302033,Asian Journal of Quality of Life,e-IPH Ltd.,2398-4279,2398-4279,
302045,Radio Industry (Russia),CRI Electronics,2541-870X,2413-9599,
302094,Buletin Penelitian Tanaman Rempah dan Obat,Indonesian Agency for Agricultural Instrument Standardization (IAAIS),2527-4414,0215-0824,
302104,HUMANIKA,Institute of Research and Community Services Diponegoro University (LPPM UNDIP),2502-5783,1412-9418,
302110,Сельское хозяйство,"NB-Media, Ltd.",2453-8809,,
302117,International Journal of Pharmacy and Pharmaceutical Sciences,Innovare Academic Sciences,0975-1491,2656-0097,
302128,Journal of Nursing and Midwifery Sciences,Brieflands,2345-5764,2345-5756,
302149,Revista PRETEXTO,Universidade Fumec,1984-6983,,
302150,Revista Gestão em Análise,Instituto para o Desenvolvimento da Educacao,2359-618X,1984-7297,
302168,Journal Human Research in Rehabilitation,Institute for Human Rehabilitation,2232-996X,2232-9935,
302238,EUREKA Physics and Engineering,OU Scientific Route,2461-4262,2461-4254,
302239,Issues in Social and Environmental Accounting,Indonesian Center for Social and Environmental Accounting Research and Development (ICSEARD),2460-6081,1978-0591,
302247,EUREKA Social and Humanities,OU Scientific Route,2504-5571,2504-5563,
302266,EUREKA Health Sciences,OU Scientific Route,2504-5679,2504-5660,
302267,EUREKA Life Sciences,OU Scientific Route,2504-5695,2504-5687,
302295,Intizar,State Islamic University of Raden Fatah Palembang,2477-3816,1412-1697,
302296,Media Trend,University of Trunojoyo Madura,2460-7649,1858-1307,
302316,Bulletin of the National Technical University «KhPI» Series New solutions in modern technologies,National Technical University Kharkiv Polytechnic Institute,2413-4295,2079-5459,
302346,Вопросы здравоохранения,"NB-Media, Ltd.",2453-8914,,
302374,CUADERNOS DE DERECHO TRANSNACIONAL,Universidad Carlos III de Madrid,1989-4570,,
302390,Tropical Conservation Science,SAGE Publications,1940-0829,1940-0829,
302397,Indonesian Fisheries Research Journal,Agency for Marine and Fisheries Research and Development,2502-6569,0853-8980,
302408,Logos,Universidade do Estado do Rio de Janeiro UERJ,1982-2391,0104-9933,
302409,Periferia,Universidade do Estado do Rio de Janeiro UERJ,1984-9540,,
302426,Jurnal Riset Akuakultur,Agency for Marine and Fisheries Research and Development,2502-6534,1907-6754,
302434,Indonesian Aquaculture Journal,Agency for Marine and Fisheries Research and Development,2502-6577,0215-0883,
302435,Media Akuakultur,Agency for Marine and Fisheries Research and Development,2502-9460,1907-6762,
302439,Jurnal Penelitian Perikanan Indonesia,Agency for Marine and Fisheries Research and Development,2502-6542,0853-5884,
302456,RETORIKA Jurnal Ilmu Bahasa,Universitas Warmadewa,2443-0668,2406-9019,
302463,Journal of Measurements in Engineering,JVE International Ltd.,2424-4635,2335-2124,
302549,Jurnal Kebijakan Perikanan Indonesia,Agency for Marine and Fisheries Research and Development,2502-6550,1979-6366,
302567,BAWAL Widya Riset Perikanan Tangkap,Agency for Marine and Fisheries Research and Development,2502-6410,1907-8226,
302570,InFestasi,University of Trunojoyo Madura,2460-8505,0216-9517,
302576,CES Psicología,Universidad CES,2011-3080,,
302619,Исследования космоса,"NB-Media, Ltd.",2453-8817,2453-8817,
302630,Metodički ogledi,Croatian Philosophical Society (Hrvatsko filozofsko drustvo),1848-2325,0353-765X,
302637,Jurnal IPTEKS Terapan,Lembaga Layanan Pendidikan Tinggi - LLDIKTI -  Wilayah X,2460-5611,1979-9292,
302651,Fronteras de la historia,Instituto Colombiano de Antropologia e Historia,2539-4711,2027-4688,
302666,CES Medicina Veterinaria y Zootecnia,Universidad CES,1900-9607,1900-9607,
302667,CES Odontología,Universidad CES,2215-9185,0120-971X,
302668,CES Salud Pública,Universidad CES,2145-9932,,
302669,CES Derecho,Universidad CES,2145-7719,2145-7719,
302756,Cadernos de Estudos Sociais e Políticos,Universidade do Estado do Rio de Janeiro UERJ,2238-3425,,
302771,Turkish Journal of Colorectal Disease,Galenos Yayinevi,2536-4901,2536-4898,2536-4901
302812,Jurnal Endurance,Lembaga Layanan Pendidikan Tinggi - LLDIKTI -  Wilayah X,2477-6521,,
302822,Jurnal Komunikasi,University of Trunojoyo Madura,2549-4902,1978-4597,
302867,Libyan International Medical University Journal,Georg Thieme Verlag KG,2519-139X,2519-139X,
302878,Perspectives,Walter de Gruyter GmbH,2009-9479,,
302897,Working Paper of Public Health,PAGEPress Publications,,2279-9761,
302940,Geografija ir edukacija mokslo almanachas / Geography and Education Science Almanac,Association of Lithuanian Serials,2424-5194,2351-6453,
302975,Süleyman Demirel Üniversitesi Eğirdir Su Ürünleri Fakültesi Dergisi,Suleyman Demirel Universitesi Egirdir Su Urunleri Fakultesi Dergisi,,1300-4891,
302986,International Journal of Surgery Protocols,Ovid Technologies (Wolters Kluwer) - Lippincott Williams & Wilkins,2468-3574,2468-3574,
303008,Stellenbosch Theological Journal,Christian Literature Fund,2413-9459,2413-9467,
303026,Temas Agrarios,Universidad de Cordoba,2389-9182,0122-7610,
303066,Polythematic Online Scientific Journal of Kuban State Agrarian University,Kuban State Agrarian University,1990-4665,,
303070,Asian Journal of Pharmaceutical and Clinical Research,Innovare Academic Sciences,2455-3891,0974-2441,
303088,Cuadernos de Investigación en Juventud,Consejo de la Juventud de Extremadura,2530-0091,,
303169,Valahian Journal of Economic Studies,Walter de Gruyter GmbH,2067-9440,,
303288,Mathematical Models in Engineering,JVE International Ltd.,2424-4627,2351-5279,
303313,Humanitarium,"TSNS Interaktiv Plus, LLC",2500-1329,2500-1337,
303317,European Cells and Materials,European Cells and Materials,1473-2262,1473-2262,
303336,Jurnal Kelautan Indonesian Journal of Marine Science and Technology,University of Trunojoyo Madura,2476-9991,1907-9931,
303394,Anusandhaan - Vigyaan Shodh Patrika,BSNV College Lucknow,2350-0123,2322-0708,
303446,Annals of Applied Sport Science,CMV Verlag,2322-4479,2476-4981,
303468,Majalah Kedokteran Gigi Indonesia,Universitas Gadjah Mada,2442-2576,2460-0164,
303474,Jurnal Riset Teknologi Pencegahan Pencemaran Industri,Center of Industrial Pollution Prevention Technology,2503-5010,2087-0965,
303486,REUNA,ANPAD,2179-8834,,
303510,journal biology of exercise,"Department of Sport Management , University of Peloponnese",2241-6331,,
303569,Archives of Materials Science and Engineering,Index Copernicus International,,1897-2764,
303594,Kinetik Game Technology Information System Computer Network Computing Electronics and Control,Universitas Muhammadiyah Malang,2503-2267,2503-2259,
303654,Jurnal Matematika MANTIK,"State Islamic University (UIN) of Sunan, Ampel",2527-3167,2527-3159,
303702,Project Management Research and Practice,"University of Technology, Sydney",2207-1415,,
303705,Indonesian Journal of Biotechnology,Universitas Gadjah Mada,2089-2241,0853-8654,
303712,IUS ET SCIENTIA,Editorial Universidad de Sevilla,2444-8478,,
303730,Jurnal Ketahanan Nasional,Universitas Gadjah Mada,2527-9688,0853-9340,
303770,Corporate Board role duties and composition,Virtus Interpress,2312-2722,1810-8601,
303819,Arquivos do Mudi,Universidade Estadual de Maringa,1980-959X,1980-959X,
303832,Asian Journal of Sustainability and Social Responsibility,Springer (Biomed Central Ltd.),2365-6417,,
303837,Jurnal Penelitian Pos dan informatika,Badan Penelitian dan Pengembangan Sumber Daya Manusia Kementerian Komunikasi dan Informatika,2476-9266,2088-9402,
303845,Aglala,Corporacion Universitaria Rafael Nunez,2215-7360,,
303857,Методички видици,"Faculty of Philosophy, University of Novi Sad",2334-7465,2217-415X,
303899,Studia Celtica Posnaniensia,Adam Mickiewicz University Poznan,2657-3008,2451-4160,
303926,Electronic Journal of Plant Breeding,"EJPB, ISPB, CPBG - Tamil Nadu Agricultural University",0975-928X,0975-928X,
303933,Journal of Governance and Regulation,Virtus Interpress,2306-6784,2220-9352,
303971,Shirkah Journal of Economics and Business,IAIN Surakarta,2503-4243,2503-4235,
303996,Sodality Jurnal Sosiologi Pedesaan,Sodality: Jurnal Sosiologi Pedesaan,2302-7525,2302-7517,
303997,Newman Business Review,Escuela de Posgrado Newman S.A.C.,2412-3730,2412-3730,
304008,Revista da FAEEBA- Educação e Contemporaneidade,Revista da FAEEBA,2358-0194,0104-7043,
304030,Jurnal Dinamika Hukum,Universitas Jenderal Soedirman,2407-6562,1410-0797,
304034,Journal of Dentomaxillofacial Science,"DiscoverSys, Inc.",2503-0825,2503-0817,
304064,Areté,Sistema de Bibliotecas PUCP,2223-3741,1016-913X,
304065,Information Bulletin on Variable Stars,Information Bulletin on Variable Stars (IBVS),0374-0676,,
304075,International Journal of Recent Surgical and Medical Sciences,Scientific Scholar,2455-0949,2455-7420,
304084,Applied Cancer Research,Springer (Biomed Central Ltd.),1980-5578,,
304089,Mutawatir Jurnal Keilmuan Tafsir Hadith,"State Islamic University (UIN) of Sunan, Ampel",2502-6321,2088-7523,
304090,Science in figures,"TSNS Interaktiv Plus, LLC",2500-1345,2500-1353,
304091,DINIKA Academic Journal of Islamic Studies,IAIN Surakarta,2503-4227,2503-4219,
304103,Pensamiento Americano,Corporacion Universitaria Americana,2745-1402,2027-2448,
304106,al-Balagh Jurnal Dakwah dan Komunikasi,IAIN Surakarta,2527-5682,2527-5704,
304113,Journal of Achievements of Materials and Manufacturing Engineering,Index Copernicus International,,1734-8412,
304136,Jurnal Teknosains,Universitas Gadjah Mada,2443-1311,2089-6131,
304147,Gender and the Genome,"The Foundation for Gender-Specific Medicine, Inc.",2470-2900,2470-2897,
304192,International Journal of Herbal Medicine,AkiNik Publications,2321-2187,2394-0514,
304203,LingTera,Universitas Negeri Yogyakarta,2477-1961,2406-9213,
304205,CSRID (Computer Science Research and Its Development Journal),University of Potensi Utama Medan,2460-870X,2085-1367,
304227,Al-A raf Jurnal Pemikiran Islam dan Filsafat,IAIN Surakarta,2527-5119,1693-9867,
304250,Sintagma revista de lingüística,Universitat de Lleida,2013-6455,0214-9141,
304254,Revista de El Colegio de San Luis,El Colegio de San Luis,2007-8846,1665-899X,
304283,Journal of Entomology and Zoology Studies,AkiNik Publications,2320-7078,2349-6800,
304288,ESP Today,"Faculty of Philology, University of Belgrade",2334-9050,,
304293,Арктика и Антарктика,"NB-Media, Ltd.",2453-8922,,
304297,Revista Educação e Emancipação,Universidade Federal do Maranhao,2358-4319,1677-6097,
304299,Periodicals of Engineering and Natural Sciences (PEN),International University of Sarajevo,2303-4521,,
304340,Tabularia,OpenEdition,1630-7364,,
304344,Journal of Radiology and Imaging,Noble Research Publishers,2399-8172,,
304393,International Journal of Pedodontic Rehabilitation,MM Publishers,,2468-8932,
304419,Turkish Journal of Sports Medicine,"Turkish Journal of Sports Medicine, Turkish Sports Medicine Association",2587-1498,1300-0551,
304421,IQTISHADIA Jurnal Ekonomi & Perbankan Syariah,Institut Agama Islam Negeri Madura,2442-3076,2354-7057,
304424,NUANSA Jurnal Penelitian Ilmu Sosial dan Keagamaan Islam,Institut Agama Islam Negeri Madura,2442-8078,1907-7211,
304430,Proceedings of the Indian National Science Academy,Springer-Verlag,2454-9983,0370-0046,
304436,Fountain of Informatics Journal,Universitas Darussalam Gontor,2548-5113,2541-4313,
304440,Buletin Penelitian Kesehatan,Badan Kebijakan Pembangunan Kesehatan,2338-3453,0125-9695,
304447,The Journal of International Scientific Researches,The Journal of International Scientific Researches,,2458-8725,
304457,Human and society,"TSNS Interaktiv Plus, LLC",2500-1361,2500-137X,
304478,Mugla Journal of Science and Technology,Mugla Journal of Science and Technology,,2149-3596,
304505,International Journal of Political Theory,Emertec Research and Development,,2371-3321,
304512,Asian Academy of Management Journal,Penerbit Universiti Sains Malaysia,2180-4184,1394-2603,
304543,Revista Gestão & Tecnologia,Fundacao Pedro Leopoldo - Revista Gestao and Tecnologia,2177-6652,1677-9479,
304587,Journal of Pancreatic Cancer,Mary Ann Liebert,2475-3246,,
304646,The Journal of Nonlinear Sciences and Applications,International Scientific Research Publications MY SDN. BHD.,2008-1901,2008-1898,
304673,Socialiniai tyrimai,Vilnius University,2351-6712,1392-3110,
304678,RASAYAN Journal of Chemistry,Rasayan Journal of Chemistry,0976-0083,0974-1496,
304686,Holos Environment,Lepidus Tecnologia,1519-8634,,
304697,Medical Laboratory Journal,Armenian Green Publishing Co.,2322-2816,1735-9007,
304702,Jurnal Riset Pendidikan Matematika,Universitas Negeri Yogyakarta,2477-1503,2356-2684,
304713,Jurnal Dinamika Penelitian,IAIN Tulungagung,,1412-2669,
304718,Sociology of power,The Russian Presidential Academy of National Economy and Public Administration,2413-144X,2074-0492,
304719,eJournal Kedokteran Indonesia,Faculty of Medicine Universitas Indonesia,2338-6037,2338-1426,
304738,Dominio de las Ciencias,"Polo de Capacitacion, Investigacion y Publicacion",2477-8818,,
304741,OBM Geriatrics,LIDSEN Publishing Inc,2638-1311,2638-1311,
304743,Asia Pacific Journal of Clinical Trials Nervous System Diseases,Ovid Technologies (Wolters Kluwer) - Medknow Publications,,2542-3932,
304761,Journal of Science and Technology of Greenhouse Culture,Academic World Research,2008-9953,2008-9082,
304784,Journal of Pure and Applied Microbiology,Journal of Pure and Applied Microbiology,2581-690X,0973-7510,
304799,IJEIS (Indonesian Journal of Electronics and Instrumentation Systems),Universitas Gadjah Mada,2460-7681,2088-3714,
304802,Bulletin of Monetary Economics and Banking,"Bank Indonesia, Central Banking Research Department - Digital Commons",2460-9196,1410-8046,
304811,LEKSEMA Jurnal Bahasa dan Sastra,IAIN Surakarta,2527-807X,2527-8088,
304831,Cambridge Journal of Eurasian Studies,Portico,2514-4634,2514-4634,
304836,OBM Hepatology and Gastroenterology,LIDSEN Publishing Inc,,2577-5804,
304845,Journal of Applied Fluid Mechanics,Academic World Research,1735-3645,1735-3572,
304879,Veruscript Functional Nanomaterials,Portico,2515-5687,,
304891,Crítica Educativa,Revista Critica,2447-4223,,
304910,RIDE Revista Iberoamericana para la Investigación y el Desarrollo Educativo,Centro de Estudios e Investigaciones para el Desarrollo Docente - CENID,2007-7467,,
304920,Tasarim + Kuram,Cetus Publishing,1302-2636,1302-2636,2757-668X
304944,CIBA Revista Iberoamericana de las Ciencias Biológicas y Agropecuarias,Centro de Estudios e Investigaciones para el Desarrollo Docente - CENID,2007-9990,,
304952,JURNAL KESEHATAN LINGKUNGAN INDONESIA,Institute of Research and Community Services Diponegoro University (LPPM UNDIP),2502-7085,1412-4939,
304955,Challenges of Modern Technology,Index Copernicus International,2353-4419,2082-2863,
304962,Penelitian Gizi dan Makanan (The Journal of Nutrition and Food Research),Persatuan Ahli Gizi Indonesia (Persagi),2338-8358,0125-9717,
304963,Jurnal Ekologi Kesehatan,Badan Kebijakan Pembangunan Kesehatan,2354-8754,1412-4025,
304967,BALABA JURNAL LITBANG PENGENDALIAN PENYAKIT BERSUMBER BINATANG BANJARNEGARA,Badan Kebijakan Pembangunan Kesehatan,2338-9982,1858-0882,
304968,Buletin Penelitian Sistem Kesehatan,Badan Kebijakan Pembangunan Kesehatan,2354-8738,1410-2935,
304997,JST (Jurnal Sains dan Teknologi),Universitas Pendidikan Ganesha,2548-8570,2303-3142,
304998,Jurnal Pendidikan dan Pengajaran,Universitas Pendidikan Ganesha,2549-2608,2301-7821,
304999,Jurnal Ilmu Sosial dan Humaniora,Universitas Pendidikan Ganesha,2303-2898,2303-2898,2549-6662
305013,Jurnal Kefarmasian Indonesia,Badan Kebijakan Pembangunan Kesehatan,2354-8770,2085-675X,
305031,Vektora Jurnal Vektor dan Reservoir Penyakit,Badan Kebijakan Pembangunan Kesehatan,2354-8789,2085-868X,
305048,Nano Reviews & Experiments,Informa UK (Taylor & Francis),2002-2727,,
305108,Bartın Orman Fakültesi Dergisi,Bartin Orman Fakultesi Dergisi,,1302-0943,
305109,Indian Journal of Advances in Chemical Science,KROS Publications,2320-0928,2320-0898,
305113,Intisari Sains Medis,"DiscoverSys, Inc.",2503-3638,2089-9084,
305132,Revista Brasileira de Farmacognosia,Springer-Verlag,1981-528X,,
305168,Yönetim Ekonomi Edebiyat İslami ve Politik Bilimler Dergisi,Journal of Management Economics Literature Islamic and Political Science,2547-9512,,
305171,Studies in Polish Linguistics,Uniwersytet Jagiellonski - Wydawnictwo Uniwersytetu Jagiellonskiego,2300-5920,1732-8160,
305186,International Dental Journal of Student Research,IP Innovative Publication Pvt Ltd,2278-3784,2394-708X,
305211,Социосфера / Sociosphere,Science Publishing Centre Sociosphere,,2078-7081,
305219,Jurnal Inovasi Pendidikan IPA,Universitas Negeri Yogyakarta,2477-4820,2406-9205,
305227,Clinical Trials in Degenerative Diseases,Ovid Technologies (Wolters Kluwer) - Medknow Publications,,2542-3975,
305235,Organizações Rurais e Agroindustriais,Revista Organizacoes Rurais & Agroindustriais (OR&A),2238-6890,,
305281,SPIRAKEL,Badan Kebijakan Pembangunan Kesehatan,2354-8819,2086-1346,
305303,OBM Genetics,LIDSEN Publishing Inc,2577-5790,2577-5790,
305306,SDÜ Tıp Fakültesi Dergisi,Medical Journal of Suleyman Demirel University,,1300-7416,
305347,Journal of the Indonesian Mathematical Society,Indonesian Mathematical Society,2460-0245,2086-8952,
305359,Media Penelitian dan Pengembangan Kesehatan,Politeknik Kesehatan Kemenkes Bandung,2338-3445,0853-9987,
305362,Journal of Information Systems Engineering and Business Intelligence,Universitas Airlangga,2443-2555,2598-6333,
305389,International Journal of West Asian Studies,Department of Arabic Studies and Islamic Civilization,2180-4788,2229-8924,
305396,Financial Internet Quarterly,Walter de Gruyter GmbH,1734-039X,,
305432,ASPIRATOR - Journal of Vector-borne Disease Studies,Perkumpulan Entomologi Kesehatan Indonesia,2338-7343,2085-4102,
305450,Revista Universitaria del Caribe,Latin America Journals Online,2311-7346,2311-5807,
305453,Scientific Journal of Review,Sjournals,2322-2433,,
305492,Arab World English Journal,AWEJ Publishing,2229-9327,,
305494,Jurnal Kesehatan Reproduksi,Ikatan Ahli Kesehatan Masyarakat (IAKMI) Tangerang Selatan,2354-8762,2087-703X,
305500,CESS (Journal of Computer Engineering System and Science),State University of Medan,2502-714X,2502-7131,
305509,Sakarya Üniversitesi İlahiyat Fakültesi Dergisi (SAUIFD),Sakarya Universitesi Ilahiyat Fakultesi Dergisi,,2146-9806,
305519,GUIDENA Jurnal Ilmu Pendidikan Psikologi Bimbingan dan Konseling,Muhammadiyah Metro University,2442-7802,2088-9623,
305521,JPI (Jurnal Pendidikan Indonesia),Universitas Pendidikan Ganesha,2541-7207,2303-288X,
305538,Jurnal Rekayasa Kimia & Lingkungan,"Chemical Engineering Department, Syiah Kuala University",2356-1661,1412-5064,
