,,This data is licensed with a CC BY-SA 4.0 license as per DOAJ's Terms and conditions of use,
Revista de Ingeniería de Construcción,0718-5073,22-February-2024,Journal not adhering to Best practice
EB (Economics Bosowa),2477-0655,22-February-2024,Website URL no longer works
Ömer Halisdemir Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi,2564-6931,22-February-2024,Website URL no longer works
Cosmos and History : the Journal of Natural and Social Philosophy,1832-9101,21-February-2024,Website URL no longer works
"International Conference on Economics, Education, Business, and Accounting",2549-3205,21-February-2024,Ceased publishing
People Living with And Inspired by Diabetes,2374-4669,21-February-2024,Ceased publishing
Arsiv Kaynak Tarama Dergisi,1300-3755,20-February-2024,Website URL no longer works
Bilişsel Davranışçı Psikoterapi Araştırmalar Dergisi,2146-9490,19-February-2024,Journal not adhering to Best practice
Atatürk Dergisi,1302-7549,19-February-2024,Journal not adhering to Best practice
Information Bulletin on Variable Stars ,1587-2440,19-February-2024,Ceased publishing
International Journal of Information Security Science,2147-0030,18-February-2024,Website URL no longer works
Journal of Measurement and Evaluation in Education and Psychology,1309-6575,18-February-2024,Website URL no longer works
TWMS Journal of Applied and Engineering Mathematics,2146-1147,18-February-2024,Journal not adhering to Best practice
Anadolu University Journal of Science and Technology. A : Applied Sciences and Engineering,2146-0205,18-February-2024,Website URL no longer works
Kalemisi Dergisi,2148-046X,18-February-2024,Journal not adhering to Best practice
Ulakbilge Sosyal Bilimler Dergisi,2148-0451,18-February-2024,Journal not adhering to Best practice
Anadolu University Journal of Science and Technology - C Life Sciences and Biotechnology,2667-4203,18-February-2024,Website URL no longer works
Žmogus ir Žodis,1392-8600,18-February-2024,Website URL no longer works
Higher Education and Oriental Studies,2785-9118,17-February-2024,Website URL no longer works
Revista Cocar,1981-9269,16-February-2024,Website URL no longer works
Revista Ribanceira,2318-9746,16-February-2024,Website URL no longer works
Translational Research in Oral Oncology ,2057-178X,16-February-2024,Changed publisher but hasn't supplied new URLs/site
Journal of Ocean and Climate,2516-0192,16-February-2024,Ceased publishing
Journal of Concussion ,2059-7002,16-February-2024,Ceased publishing
Clinical Medicine Insights: Psychiatry ,1179-5573,16-February-2024,Ceased publishing
Infectious Diseases,1178-6337,16-February-2024,Ceased publishing
مدیریت سلامت,2008-1219,15-February-2024,Journal not adhering to Best practice
"International Journal of Health, Animal Science and Food Safety",2283-3927,15-February-2024,Ceased publishing
Gene and Genome Editing ,2666-3880,15-February-2024,Ceased publishing
Organs-on-a-Chip,2666-1020,15-February-2024,Ceased publishing
Current Research in Chemical Biology ,2666-2469,15-February-2024,Ceased publishing
Medical Journal of Indonesia,2252-8083,15-February-2024,Journal not adhering to Best practice
İnsan & Toplum,2602-2745,13-February-2024,Journal not adhering to Best practice
International Journal of Contemporary Tourism Research,2587-1528,12-February-2024,Journal not adhering to Best practice
Sanat Eğitimi Dergisi,2147-8007,12-February-2024,Journal not adhering to Best practice
Gazi Osman Paşa Üniversitesi Ziraat Fakültesi Dergisi,2147-8848,12-February-2024,Journal not adhering to Best practice
PhytoChem & BioSub Journal,2170-1768,10-February-2024,Website URL no longer works
Gilgameš,2531-9515,10-February-2024,Ceased publishing
Schermi,2532-2486,10-February-2024,Ceased publishing
"International Journal of Educational Review, Law and Social Sciences",2808-487X,9-February-2024,Journal not adhering to Best practice
Bisanzio e l'Occidente,2611-9870,8-February-2024,Ceased publishing
Anatolian Bryology,2458-8474,8-February-2024,Journal not adhering to Best practice
İşletme Araştırmaları Dergisi,1309-0712,8-February-2024,Journal not adhering to Best practice
Indonesia Journal of Biomedical Science,2302-2906,7-February-2024,Journal not adhering to Best practice
Revista Brasileira de Economia,0034-7140,7-February-2024,Journal not adhering to Best practice
Research in Applied Mathematics,2357-0482,6-February-2024,Ceased publishing
المجلة الدولية لتطوير التفوق,2415-4563,6-February-2024,Ceased publishing
South African Crime Quarterly,1991-3877,6-February-2024,Ceased publishing
Revista Internacional de Derecho Romano,1989-1970,6-February-2024,Journal not adhering to Best practice
Maqolat,2985-5829,5-February-2024,Journal not adhering to Best practice
Competitive,2964-2345,5-February-2024,Journal not adhering to Best practice
Justices,2964-5107,5-February-2024,Journal not adhering to Best practice
EnJourMe,2502-5740,1-February-2024,Journal not adhering to Best practice
Jurnal Pengolahan Hasil Perikanan Indonesia ,2354-886X,1-February-2024,Journal not adhering to Best practice
Nuclear Receptor Research,2314-5706,1-February-2024,Ceased publishing
Egyptian Journal of Basic and Clinical Pharmacology,2090-7222,1-February-2024,Website URL no longer works
